phi1,Sbar1,Sbar2
0.0,0.9119235196052153,0.9288766529340031
0.01,0.910244422557667,0.9275081509474189
0.02,0.9085838381090114,0.9261542404920996
0.03,0.9069413118998625,0.9248145663702887
0.04,0.9053164036469958,0.9234887842225733
0.05,0.9037086859684562,0.922176559599398
0.06,0.9021177558253882,0.9208775773331117
0.07,0.90054321709317,0.9195915273438556
0.08,0.8989846886156596,0.9183181112397472
0.09,0.8974418062721995,0.9170570440357537
0.1,0.8959142161124712,0.9158080485709787
0.11,0.8944015772730844,0.9145708579157211
0.12,0.8929035589457649,0.913345212915213
0.13,0.8914198442519746,0.9121308653813938
0.14,0.889950123315458,0.9109275724451862
0.15,0.8884941008996231,0.9097351028275283
0.16,0.8870514866833437,0.9085532288963706
0.17,0.8856220021779991,0.9073817323478242
0.18,0.8842053771781568,0.9062204013164203
0.19,0.8828013515256522,0.9050690318373485
0.2,0.8814096691662199,0.9039274229876498
0.21,0.8800300860851658,0.9027953834083663
0.22,0.8786623632153029,0.9016727255016487
0.23,0.8773062700104828,0.9005592683753302
0.24,0.8759615816839189,0.8994548355886272
0.25,0.8746280807323967,0.8983592564151642
0.26,0.8733055557083971,0.8972723648459954
0.27,0.8719938009853733,0.8961939994071516
0.28,0.8706926180532247,0.895124004235166
0.29,0.8694018120723838,0.8940622262536169
0.3,0.8681211953569365,0.8930085180465956
0.31,0.8668505836385842,0.8919627347944596
0.32,0.8655897993574037,0.8909247369899926
0.33,0.8643386690908171,0.8898943883310793
0.34,0.8630970239737507,0.8888715560739624
0.35000000000000003,0.8618647014721865,0.8878561125023466
0.36,0.8606415391662541,0.8868479298118537
0.37,0.8594273822243955,0.8858468862752031
0.38,0.8582220791368259,0.884852862733726
0.39,0.8570254817642848,0.883865742643166
0.4,0.8558374463122079,0.8828854128831931
0.41000000000000003,0.8546578322398689,0.88191176286346
0.42,0.8534865026048786,0.8809446848133015
0.43,0.852323323894177,0.8799840736476847
0.44,0.8511681650847994,0.8790298261964979
0.45,0.8500209010608202,0.8780818440324912
0.46,0.8488814057637735,0.8771400278170751
0.47000000000000003,0.8477495588271435,0.8762042827862633
0.48,0.846625242061088,0.8752745158507711
0.49,0.8455083399651467,0.8743506360237114
0.5,0.8443987395711954,0.8734325542946811
0.51,0.843296331052024,0.872520184137313
0.52,0.842201006513786,0.8716134405139178
0.53,0.8411126605967588,0.8707122403760704
0.54,0.8400311913579399,0.8698165033993878
0.55,0.8389564976616557,0.8689261498259946
0.56,0.8378884813372109,0.8680411022544953
0.5700000000000001,0.8368270461958193,0.8671612848289899
0.58,0.8357720982625568,0.8662866234343111
0.59,0.8347235456583557,0.8654170456012513
0.6,0.83368129827786,0.8645524802422438
0.61,0.8326452681014981,0.8636928579129022
0.62,0.831615368905301,0.8628381105740159
0.63,0.8305915163145654,0.861988171638632
0.64,0.829573627787775,0.8611429759612502
0.65,0.8285616223028592,0.8603024595797172
0.66,0.8275554209056851,0.8594665601730948
0.67,0.8265549455290054,0.8586352160828262
0.68,0.8255601198499122,0.8578083670269595
0.6900000000000001,0.8245708703503313,0.8569859549841978
0.7000000000000001,0.8235871230838547,0.8561679215083703
0.71,0.8226088070450432,0.8553542105312627
0.72,0.8216358520100671,0.8545447665693503
0.73,0.8206681887516173,0.8537395349039045
0.74,0.8197057503436695,0.8529384626685718
0.75,0.8187484704446538,0.8521414974225922
0.76,0.8177962839788071,0.8513485877192511
0.77,0.8168491276685614,0.8505596835510196
0.78,0.8159069389732828,0.8497747354674505
0.79,0.814969656379471,0.8489936948181365
0.8,0.814037220113895,0.8482165143485442
0.81,0.813109571032596,0.8474431472757216
0.8200000000000001,0.8121866514463397,0.8466735479776599
0.8300000000000001,0.8112684040185343,0.8459076710757121
0.84,0.810354773115786,0.8451454725620977
0.85,0.809445704251735,0.8443869093376992
0.86,0.8085411432807981,0.8436319385404548
0.87,0.8076410375386744,0.8428805184982034
0.88,0.8067453351874364,0.8421326081834557
0.89,0.805853985082388,0.8413881671032409
0.9,0.8049669367115576,0.8406471552494807
0.91,0.8040841417502856,0.8399095343989305
0.92,0.8032055512015174,0.8391752657252322
0.93,0.8023311176676499,0.838444311697843
0.9400000000000001,0.8014607940673755,0.8377166350107832
0.9500000000000001,0.8005945349871687,0.8369921997135141
0.96,0.7997322957521481,0.8362709704354124
0.97,0.7988740308746801,0.8355529110885649
0.98,0.7980196971077933,0.8348379874226969
0.99,0.7971692517361578,0.8341261655967994
1.0,0.7963226521913914,0.8334174118577237
